Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,2.090000,2.100000,1.678000,1.820000,1.820000,868600
2023-06-27,1.810000,2.050000,1.810000,2.020000,2.020000,424200
2023-06-28,2.000000,2.070000,1.950000,2.040000,2.040000,119400
2023-06-29,2.070000,2.130000,1.990000,2.070000,2.070000,101900
2023-06-30,2.110000,2.140000,2.000000,2.070000,2.070000,84500
2023-07-03,2.030000,2.205000,2.000000,2.190000,2.190000,64700
2023-07-05,2.230000,2.230000,2.080000,2.140000,2.140000,52500
2023-07-06,2.100000,2.170000,2.090000,2.110000,2.110000,43200
2023-07-07,2.110000,2.180000,2.040000,2.050000,2.050000,115200
2023-07-10,2.110000,2.200000,2.060000,2.150000,2.150000,78200
2023-07-11,2.200000,2.200000,2.080000,2.130000,2.130000,19000
2023-07-12,2.120000,2.120000,2.010000,2.060000,2.060000,47200
2023-07-13,2.010000,2.120000,2.010000,2.070000,2.070000,43200
2023-07-14,2.100000,2.100000,2.020000,2.100000,2.100000,29300
2023-07-17,2.100000,2.190000,2.065000,2.130000,2.130000,28100
2023-07-18,2.130000,2.150000,2.040000,2.150000,2.150000,20500
2023-07-19,2.160000,2.160000,2.090000,2.150000,2.150000,23700
2023-07-20,2.120000,2.150000,1.920000,1.970000,1.970000,105400
2023-07-21,1.960000,2.060000,1.960000,2.050000,2.050000,17000
2023-07-24,2.030000,2.100000,2.020000,2.090000,2.090000,17100
2023-07-25,2.100000,2.100000,1.980000,1.990000,1.990000,22200
2023-07-26,2.060000,2.060000,1.950000,1.980000,1.980000,24000
2023-07-27,1.970000,1.990000,1.936000,1.940000,1.940000,16800
2023-07-28,1.970000,2.100000,1.950000,2.030000,2.030000,58600
2023-07-31,2.060000,2.060000,1.984000,2.000000,2.000000,16000
2023-08-01,1.990000,2.030000,1.960000,2.000000,2.000000,35900
2023-08-02,1.980000,2.040000,1.920000,1.950000,1.950000,35900
2023-08-03,1.930000,1.980000,1.909000,1.950000,1.950000,36600
2023-08-04,1.960000,1.980000,1.910000,1.930000,1.930000,11800
2023-08-07,1.900000,1.979000,1.890000,1.890000,1.890000,23600
2023-08-08,1.890000,1.910000,1.870000,1.900000,1.900000,27600
2023-08-09,1.900000,1.950000,1.870000,1.910000,1.910000,30400
2023-08-10,2.030000,2.030000,1.800000,1.810000,1.810000,78600
2023-08-11,1.960000,1.970000,1.810000,1.920000,1.920000,45400
2023-08-14,1.950000,1.955000,1.875000,1.910000,1.910000,24500
2023-08-15,1.880000,1.910000,1.820000,1.910000,1.910000,15700
2023-08-16,1.880000,1.920000,1.860000,1.917000,1.917000,10900
2023-08-17,1.880000,1.955000,1.880000,1.930000,1.930000,14700
2023-08-18,1.930000,2.030000,1.904000,2.000000,2.000000,33200
2023-08-21,2.000000,2.000000,1.910000,1.940000,1.940000,16000
2023-08-22,1.930000,2.020000,1.930000,2.005000,2.005000,21900
2023-08-23,1.970000,2.000000,1.950000,1.990000,1.990000,11900
2023-08-24,1.960000,2.029000,1.950000,1.950000,1.950000,16700
2023-08-25,2.000000,2.000000,1.950000,2.000000,2.000000,18700
2023-08-28,2.000000,2.075000,1.960000,2.050000,2.050000,52900
2023-08-29,2.080000,2.120000,2.010000,2.120000,2.120000,43100
2023-08-30,2.050000,2.120000,2.000000,2.020000,2.020000,50300
2023-08-31,2.040000,2.090000,2.000000,2.020000,2.020000,49100
2023-09-01,2.000000,2.050000,1.980000,2.000000,2.000000,19500
2023-09-05,2.050000,2.140000,2.025000,2.100000,2.100000,37100
2023-09-06,2.160000,2.160000,2.040000,2.080000,2.080000,20700
2023-09-07,2.060000,2.200000,2.040000,2.070000,2.070000,31600
2023-09-08,2.140000,2.145000,2.020000,2.020000,2.020000,23200
2023-09-11,2.000000,2.090000,1.930000,2.000000,2.000000,68100
2023-09-12,2.030000,2.100000,1.940000,2.000000,2.000000,42300
2023-09-13,2.005000,2.040000,2.000000,2.010000,2.010000,22300
2023-09-14,2.260000,2.320000,1.850000,2.000000,2.000000,7600000
2023-09-15,1.920000,2.010000,1.900000,1.910000,1.910000,454900
2023-09-18,1.900000,1.945000,1.900000,1.930000,1.930000,150700
2023-09-19,1.890000,2.030000,1.880000,1.980000,1.980000,85200
2023-09-20,1.970000,2.010000,1.920000,1.990000,1.990000,51500
2023-09-21,2.010000,2.010000,1.950000,1.980000,1.980000,63900
2023-09-22,1.950000,1.970000,1.910000,1.910000,1.910000,52600
2023-09-25,1.900000,1.950000,1.890000,1.910000,1.910000,50200
2023-09-26,1.870000,1.920000,1.870000,1.900000,1.900000,96300
2023-09-27,1.860000,1.910000,1.810000,1.810000,1.810000,50700
2023-09-28,1.790000,1.810000,1.745000,1.760000,1.760000,30300
2023-09-29,1.750000,1.830000,1.750000,1.770000,1.770000,44700
2023-10-02,1.780000,1.790000,1.720000,1.790000,1.790000,37900
2023-10-03,1.800000,1.840000,1.740000,1.840000,1.840000,44500
2023-10-04,1.790000,1.890000,1.760000,1.890000,1.890000,63700
